report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,REX,REX American Resources,3,-0.101726263872,6,31,6,1444977688.66,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",NTR,Nutrien,3,-0.0576518445785,7,24,7,33643310217,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",CASY,Casey's General Stores,3,-0.0555292899275,7,23,7,30941658841.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",BASFY,BASF,3,-0.0696058615462,8,25,8,,0,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",MUSA,Murphy USA,3,-0.0708424647062,8,26,8,10444448379.3,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",CTVA,Corteva,3,-0.0938212357528,9,29,9,52421589720,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",AGCO,AGCO,3,-0.124266988617,10,34,10,6969557670.08,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",YARIY,Yara International,3,-0.25702811245,11,37,11,,0,2026-08-12
2026-08-13,2026-08-12,stock,Advanced biofuels and SAF,NTOIY,Neste,12,1.01779359431,1,3,1,,0,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",BAYRY,Bayer,12,0.778772378517,1,7,1,,0,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",VLO,Valero Energy,12,1.42533969886,1,1,1,99697762645.9,1,2026-08-12
2026-08-13,2026-08-12,stock,Grain origination and agribusiness,ANDE,The Andersons,12,0.630062111801,1,9,1,2301165356.1,1,2026-08-12
2026-08-13,2026-08-12,stock,International ethanol,AGRO,Adecoagro,12,0.00650054171181,1,29,1,1525335200.62,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,CSX,CSX,12,0.388026607539,1,14,1,93883428793.6,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,VLO,Valero Energy,12,1.42533969886,1,1,1,99697762645.9,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",DAR,Darling Ingredients,12,0.979095163807,1,4,1,10563327197,1,2026-08-12
